"file_name,RMSE,SNR,R2Score,MAE"
fastnfastp_3.3V_45.csv,0.1617436064542603,18.461435068767788,0.9423371956709796,0.1095724010753523
fastnfastp_3.6V_45.csv,0.17021358710420323,18.041419411244412,0.9350327019270253,0.11400862438087817
fastnslowp_3.3V_45.csv,0.1806280243713347,17.25411086284767,0.9313112134485504,0.11784377529552345
fastnslowp_3.6V_45.csv,0.16349884578910834,18.241723319277273,0.9435367369209421,0.11280296233361446
slownfastp_3.3V_45.csv,0.21565083001192561,15.636033077637478,0.8985918390796398,0.14477146487099737
slownfastp_3.6V_45.csv,0.2388600000396568,14.753138166238502,0.8761329646955499,0.1581800042685801
slownslowp_3.3V_45.csv,0.12203929946138073,20.447043607763288,0.967330291025403,0.0848632533209568
slownslowp_3.6V_45.csv,0.10345875737783596,21.954974449974365,0.976672577002508,0.07566591114824167
typical_3.3V_45.csv,0.0861816380847397,23.66084378993105,0.9837639509061352,0.060376248851150116
typical_3.6V_45.csv,0.09517277349197482,22.835077378072768,0.980008545311495,0.062495367175648395
