,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.7968862,0.7685718,0.7567087,0.7004316,0.6705848,0.5827407,0.92110485,1.5885999,2.3470435,3.1874037,3.710976,4.26749,4.6636176,4.9551992,5.3002315,5.588234,5.911306,6.1561556,6.332065,6.5874243,6.809741,6.9925685,7.283426,7.2929654,7.4860024,7.669198,7.9045277,7.958967,8.208188,8.16473,8.303884,8.25449,8.388235,8.476096,8.635859,8.640324,8.775299,8.737249,8.867896,8.821242,8.902408,8.819916,8.885972,8.92843,9.108033,9.070119,9.06318,9.048224,9.186149,9.134153,9.241197,9.080388,9.113514,9.22621,9.215017,9.230376,9.304187,9.182156,9.268668,9.240639,9.200541,9.333051,9.220066,9.177941,9.302088,9.226946,9.273785,9.312169,9.274918,9.230188,9.255655,9.3677,9.253477,9.168686,9.25166,9.184542,9.209283,9.331001,9.283792,9.261528,9.231091,9.253093,9.290665,9.171504,9.205132,9.193846,9.320948,9.3007965,9.363772,9.23112,9.355462,9.324999,9.231914,9.2279215,9.275865,9.242679,9.319785,9.270014,9.383444,9.329375
1,1.0163422,0.8629518,0.9292807,0.82348907,0.8882506,0.6487101,1.1006161,1.7499622,2.5439684,3.3911073,3.9205558,4.4303403,4.9605155,5.1336017,5.47018,5.8778434,6.2484007,6.4553127,6.5050855,6.7990546,7.0691895,7.2468724,7.42635,7.4026976,7.753484,7.916208,8.012779,8.061323,8.365324,8.391301,8.517002,8.433148,8.515455,8.564008,8.86121,8.82995,8.843507,8.869782,8.988232,8.8408575,9.044104,9.020617,9.07795,8.995632,9.218028,9.228668,9.070358,9.182127,9.252831,9.265058,9.270746,9.116201,9.1323185,9.365897,9.291979,9.365736,9.359999,9.187861,9.434444,9.274087,9.261997,9.444297,9.225869,9.330945,9.404191,9.249189,9.3085,9.410023,9.289204,9.258771,9.310483,9.390846,9.419544,9.309341,9.394615,9.276495,9.288178,9.39778,9.3580475,9.377968,9.295886,9.339555,9.456193,9.260828,9.323553,9.325959,9.456424,9.336426,9.553138,9.380346,9.3675,9.489629,9.329514,9.351861,9.372029,9.364913,9.386768,9.3100395,9.411357,9.417326
2,1.6306913,1.5615269,1.5383295,1.4663119,1.4380052,1.2823644,1.6211149,2.5889053,3.4511285,4.167753,4.738013,5.2635455,5.7187133,6.1061835,6.41756,6.6770053,6.963669,7.217231,7.3861895,7.583787,7.859854,8.017809,8.064264,8.268609,8.438919,8.562571,8.573339,8.675516,8.747135,8.853143,8.92613,8.980622,9.0216,9.027977,9.144185,9.121594,9.16081,9.177113,9.217816,9.209512,9.2570715,9.37172,9.333579,9.300979,9.344593,9.396783,9.361987,9.42167,9.406406,9.459919,9.362041,9.411686,9.379208,9.418719,9.417033,9.449822,9.397041,9.410481,9.424145,9.425667,9.3883505,9.418842,9.464246,9.500824,9.439499,9.407748,9.402556,9.414674,9.393638,9.40654,9.43966,9.408668,9.458334,9.427967,9.464633,9.447002,9.455895,9.421663,9.410612,9.419173,9.401083,9.421106,9.448879,9.41241,9.474341,9.4296665,9.400263,9.40668,9.4640255,9.468609,9.398741,9.457276,9.431069,9.437434,9.447746,9.488557,9.411561,9.4381695,9.413904,9.458361
3,1.7564138,1.7250521,1.6946356,1.619771,1.5495498,1.4451728,1.7446351,2.7565453,3.6360157,4.3435,4.878758,5.4009776,5.8458934,6.2834816,6.572261,6.7915864,7.106364,7.38457,7.548212,7.7367115,8.014668,8.12355,8.183428,8.398692,8.531956,8.667371,8.658218,8.751232,8.810416,8.922873,8.979944,9.041869,9.093316,9.101604,9.197491,9.166937,9.192646,9.195838,9.265223,9.27027,9.28934,9.393045,9.407037,9.311119,9.36129,9.441992,9.401757,9.41671,9.460665,9.510861,9.386986,9.431372,9.3661375,9.459786,9.438965,9.428892,9.418795,9.427617,9.425058,9.44421,9.375237,9.440529,9.484851,9.526978,9.425793,9.398857,9.414858,9.419103,9.416183,9.375288,9.422538,9.43081,9.503786,9.441864,9.481987,9.4657545,9.476014,9.415139,9.415589,9.426412,9.437586,9.396661,9.449401,9.388256,9.486508,9.425319,9.385099,9.418812,9.470295,9.47704,9.395838,9.469324,9.447362,9.424928,9.479646,9.519615,9.407586,9.431185,9.452873,9.482833
4,0.78795433,0.76338,0.7461032,0.69063294,0.6548232,0.5711482,0.90073687,1.5678322,2.335663,3.1629214,3.6927557,4.241664,4.6398044,4.9343014,5.2757053,5.5680017,5.887854,6.1333733,6.3161983,6.570973,6.782666,6.963821,7.2654324,7.276704,7.465663,7.645328,7.883296,7.941525,8.183756,8.149702,8.2833805,8.242537,8.376801,8.469007,8.6159935,8.630983,8.754573,8.725316,8.8530245,8.815314,8.892595,8.802049,8.881695,8.920573,9.087859,9.054206,9.051036,9.031523,9.169657,9.117435,9.230218,9.074186,9.107771,9.2195215,9.205583,9.213516,9.294329,9.176519,9.259299,9.231157,9.197504,9.3230295,9.205213,9.165907,9.28501,9.218933,9.266693,9.301884,9.269047,9.218898,9.239477,9.354633,9.247121,9.166768,9.240517,9.177309,9.200391,9.315989,9.275402,9.254664,9.230002,9.240696,9.277765,9.167077,9.19252,9.18881,9.311023,9.290559,9.346029,9.218903,9.340143,9.309427,9.225202,9.217028,9.265749,9.22845,9.306493,9.254698,9.369808,9.315398
5,1.6453651,1.5904621,1.5560216,1.4866081,1.4402485,1.3047769,1.6209102,2.5981011,3.4769988,4.172306,4.7440915,5.2594414,5.71216,6.118696,6.4195476,6.6726284,6.9613943,7.2214775,7.401808,7.596976,7.8577003,8.00222,8.068089,8.278462,8.431814,8.553424,8.566799,8.6701565,8.729929,8.847552,8.909831,8.979398,9.024005,9.037694,9.128411,9.120239,9.14099,9.16788,9.210049,9.21889,9.251718,9.352698,9.346166,9.29541,9.32378,9.386898,9.359594,9.398329,9.400244,9.451507,9.356568,9.410715,9.3726,9.420383,9.41241,9.422814,9.39166,9.410402,9.41296,9.419683,9.383492,9.410725,9.452848,9.492038,9.415861,9.397615,9.398615,9.4033,9.394546,9.388633,9.418228,9.399189,9.460948,9.431632,9.453774,9.445432,9.450345,9.402096,9.402266,9.41328,9.411504,9.402255,9.432493,9.402611,9.462767,9.42354,9.385096,9.399224,9.44095,9.455148,9.382048,9.4398,9.428356,9.422321,9.44319,9.477059,9.396264,9.418812,9.407272,9.44728
6,1.3513827,1.363947,1.2376204,1.2153968,1.1023214,1.0544217,1.2604717,2.2077055,3.1366916,3.7146256,4.3710356,4.8538775,5.2442846,5.72254,6.012831,6.2530656,6.4689507,6.733161,7.0600915,7.243007,7.3802996,7.5531564,7.7641263,8.005195,8.055021,8.14854,8.29263,8.425554,8.410756,8.55045,8.590593,8.754346,8.823151,8.897576,8.806409,8.922014,8.920845,9.0084715,9.003142,9.142106,9.082876,9.094121,9.171679,9.210536,9.110761,9.152295,9.260146,9.203286,9.217946,9.2279825,9.260529,9.349295,9.356602,9.277084,9.302173,9.239875,9.288256,9.374403,9.262566,9.330422,9.357735,9.262586,9.340878,9.309933,9.25485,9.349683,9.336701,9.280025,9.349036,9.338718,9.302703,9.286103,9.298799,9.357713,9.281585,9.355707,9.338813,9.268307,9.308512,9.308437,9.369037,9.302215,9.253581,9.355059,9.31281,9.333437,9.262142,9.31402,9.195097,9.283932,9.286527,9.228941,9.332675,9.2998495,9.302868,9.2813425,9.282902,9.300461,9.273781,9.287145
7,1.13295,1.089833,0.9688696,0.95515853,0.90387076,0.78227973,1.0431994,1.9201326,2.8214016,3.4099922,4.126281,4.6146493,5.016892,5.4196806,5.7454376,6.046734,6.2142463,6.4402866,6.7855396,6.980565,7.1094236,7.3610063,7.559983,7.7852993,7.887007,7.9615045,8.145383,8.295872,8.296751,8.425663,8.489364,8.645854,8.701132,8.775817,8.705686,8.841085,8.863877,8.973439,8.919873,9.04507,9.024633,9.048123,9.047342,9.19403,9.075743,9.071245,9.196328,9.203681,9.125757,9.138269,9.219269,9.318365,9.381079,9.206611,9.265981,9.266712,9.25211,9.349396,9.256223,9.301513,9.379387,9.223838,9.307364,9.261502,9.27176,9.365027,9.317716,9.269898,9.315722,9.390793,9.328517,9.250515,9.219932,9.333555,9.248344,9.32386,9.304153,9.275318,9.29938,9.293574,9.312445,9.340141,9.244865,9.394508,9.287709,9.33799,9.282494,9.294769,9.174337,9.264404,9.291163,9.200499,9.304069,9.317142,9.247366,9.224927,9.287505,9.309771,9.209411,9.242845
8,1.2131672,1.1898541,1.0667114,1.050004,0.97619146,0.881574,1.1221236,2.025006,2.9366522,3.5207949,4.2159147,4.7016,5.1003966,5.530369,5.842728,6.1223397,6.3077,6.5477285,6.886415,7.076935,7.2086644,7.431024,7.63477,7.8658257,7.949051,8.03035,8.199198,8.343773,8.338836,8.472386,8.526762,8.686285,8.746616,8.821331,8.743006,8.872064,8.8849945,8.987378,8.950947,9.081223,9.046854,9.065662,9.094633,9.201203,9.088777,9.101859,9.220238,9.204008,9.159831,9.171767,9.2347765,9.330551,9.373192,9.233579,9.280409,9.257492,9.26619,9.359332,9.260012,9.3131075,9.372385,9.239061,9.319967,9.280321,9.266153,9.360068,9.325514,9.274485,9.328978,9.37262,9.319649,9.264205,9.250197,9.344118,9.261669,9.336591,9.317671,9.273139,9.303716,9.300003,9.33466,9.327302,9.248809,9.38143,9.297504,9.33771,9.27617,9.302675,9.182586,9.272646,9.289903,9.211517,9.315541,9.312112,9.268381,9.246269,9.28663,9.306746,9.233318,9.259602
9,1.3525392,1.356172,1.2382394,1.2140079,1.111655,1.0528696,1.2732915,2.2181175,3.133775,3.7295086,4.3813434,4.872546,5.2651315,5.7314825,6.0277543,6.269613,6.4873447,6.7488093,7.065865,7.249085,7.4001966,7.578233,7.774828,8.011681,8.072597,8.169407,8.308339,8.440551,8.434574,8.565593,8.611863,8.763627,8.831252,8.899585,8.827372,8.930871,8.943787,9.021211,9.017116,9.142679,9.0931225,9.1146755,9.17224,9.219367,9.131717,9.168501,9.268691,9.224683,9.230901,9.243005,9.269508,9.354568,9.363639,9.282817,9.311822,9.262971,9.297703,9.378664,9.27568,9.3407755,9.362211,9.27477,9.355049,9.323006,9.275789,9.359339,9.343719,9.292808,9.353745,9.353446,9.321577,9.299537,9.304396,9.359064,9.295942,9.361392,9.348044,9.286213,9.318902,9.316495,9.3673935,9.3187,9.269517,9.3639345,9.325691,9.34109,9.276137,9.324387,9.217735,9.2991705,9.3027,9.247034,9.338941,9.314724,9.312208,9.29704,9.298094,9.318348,9.285826,9.301122
