,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
0,-0.3865891,-0.3046862,-0.21028735,-0.15708573,-0.06839101,0.032610245,0.11264481,0.20276901,0.26403797,0.33900526,0.44426608,0.5162842,0.5814777,0.6254786,0.5556456,0.44565162,0.291891,0.13913748,0.13038331,0.11788514,0.14086293,0.14882599,0.16724811,0.19420722,0.17001745,0.1683753,0.15506394,0.17465349,0.17341346,0.1823789,0.17139693,0.18901773,0.19682986,0.18648677,0.20108709,0.19752,0.21177861,0.21278115,0.21122922,0.2065992,0.24915272,0.23502481,0.22510627,0.2514249,0.24102265,0.23889391,0.24757965,0.27497792,0.25162733,0.28056005,0.27083504,0.28953594,0.29031554,0.26848105,0.2953345,0.28712592,0.2942833,0.30259398,0.31652367,0.31732988,0.3075367,0.3274227,0.32135734,0.30516446,0.34861863,0.30979216,0.33707193,0.35839644,0.32286572,0.35278243,0.338294,0.3385084,0.32981157,0.33925343,0.33050945,0.32473662,0.35422894,0.32824245,0.32626548,0.33908588,0.3446614,0.3595637,0.32985726,0.34865797,0.33336678,0.30391967,0.33685124,0.35765907,0.3419162,0.34638983,0.3344843,0.3390924,0.34179616,0.33189446,0.32842484,0.33798018,0.3412431,0.3453916,0.35416403,0.35122532,0.3327082,0.33870044,0.355674,0.34031323,0.35405943,0.34092718,0.34394622,0.35274398,0.30302632,0.34430772,0.3550849,0.33642805,0.33026227,0.34153998,0.33788967,0.32365847,0.33619812,0.31845605,0.34357327,0.32213438,0.33427808,0.3171254,0.31658977,0.32763743,0.34339452,0.33000815,0.34808347,0.32963485,0.32770556,0.3545942,0.325843
1,-0.39703822,-0.309142,-0.21545391,-0.15105127,-0.061337516,0.035113074,0.10489367,0.19329852,0.2705381,0.35803378,0.45188546,0.52600914,0.5981027,0.6332526,0.58465147,0.47057772,0.31926084,0.17705739,0.1440865,0.10735738,0.14906217,0.12946293,0.14591333,0.17411795,0.17839658,0.17100087,0.15982305,0.16625978,0.16305709,0.17430924,0.17217928,0.17218667,0.1793442,0.19209316,0.19388331,0.18919767,0.20947002,0.20700966,0.22594781,0.20924261,0.23325893,0.23782474,0.22806047,0.24523859,0.24091272,0.23941915,0.25593317,0.26714587,0.25976795,0.26873586,0.2597909,0.27368784,0.28305456,0.26986945,0.2896453,0.28485543,0.30408794,0.30879956,0.30163568,0.30767605,0.30484954,0.3154612,0.32501146,0.33581835,0.33631003,0.33076662,0.33457634,0.3498769,0.33057153,0.34092274,0.3400707,0.3380511,0.33943513,0.35166442,0.33281904,0.3388805,0.34756485,0.34378648,0.33618256,0.33840472,0.34294313,0.33883545,0.33323854,0.34164855,0.33074576,0.33183342,0.33058354,0.34106624,0.33490765,0.34296095,0.3471788,0.3363643,0.33759815,0.3420734,0.3356525,0.3337723,0.3411731,0.3486988,0.33271968,0.33567306,0.3353011,0.34026965,0.35017803,0.3449456,0.3379263,0.3315407,0.32455182,0.34775382,0.34182578,0.3559686,0.352975,0.33226275,0.349319,0.34226573,0.3353825,0.33318147,0.35213286,0.33373708,0.33078444,0.3338808,0.34255102,0.33908394,0.3300713,0.33401904,0.33883482,0.33334023,0.34685796,0.32681394,0.33539838,0.34814456,0.33167002
2,-0.41890293,-0.3274276,-0.2303365,-0.16812477,-0.07195844,0.04514443,0.12079227,0.21047463,0.27717173,0.35926634,0.47770578,0.537456,0.6009676,0.64276993,0.5692221,0.426696,0.27779153,0.12760322,0.10441793,0.09042221,0.112621285,0.120473795,0.14622629,0.19129515,0.16117409,0.179126,0.16558328,0.18598294,0.17940348,0.19210748,0.18269667,0.20210485,0.21174124,0.20288515,0.21439026,0.21236603,0.23091431,0.21977721,0.21617247,0.21914032,0.26450247,0.25061622,0.23486015,0.27110285,0.25228918,0.25164956,0.2617306,0.28929594,0.26167822,0.29403728,0.29223502,0.3124598,0.31022578,0.2841009,0.31022397,0.30403075,0.3156194,0.31999183,0.33824596,0.33939284,0.3287746,0.34156227,0.34673417,0.32131255,0.36913183,0.32737035,0.35500404,0.38278848,0.33708093,0.37320024,0.3678813,0.3624335,0.35726804,0.3622384,0.3463031,0.3470909,0.3776209,0.34348458,0.33793283,0.3552624,0.36297897,0.37859714,0.3526782,0.36998954,0.3561649,0.3271243,0.35719717,0.37925205,0.3686562,0.37208182,0.35855067,0.36116284,0.3710446,0.34720343,0.34474528,0.36170608,0.36575216,0.36687237,0.38463947,0.37115085,0.34271985,0.3545077,0.37833565,0.36794382,0.38087073,0.36203885,0.36149687,0.37422895,0.3280707,0.3607836,0.37699282,0.36297607,0.3516797,0.363522,0.35807526,0.33966404,0.36037618,0.34016752,0.3717832,0.3378139,0.3629505,0.33399534,0.33116373,0.35425436,0.36141044,0.3508828,0.35842,0.36116654,0.34778112,0.38115266,0.34146598
3,-0.3503307,-0.2815819,-0.18935283,-0.14461784,-0.063853346,0.020313695,0.10354851,0.19339842,0.2467567,0.31547984,0.40947124,0.49093562,0.56025857,0.6088392,0.54470307,0.46702808,0.3095734,0.16050595,0.16480276,0.14780812,0.17132479,0.1746975,0.18548077,0.1933364,0.17656557,0.15696211,0.14130911,0.16322693,0.16682047,0.17286915,0.1603006,0.17456074,0.18400438,0.16932209,0.18845342,0.18428558,0.19131628,0.20063739,0.20571701,0.19270962,0.22972491,0.21731,0.21431476,0.23167285,0.22702459,0.22431453,0.23370104,0.2590498,0.23937315,0.26567757,0.2482894,0.26614204,0.26708442,0.24935168,0.27733833,0.26674065,0.2722265,0.28279415,0.2954139,0.29232007,0.28614983,0.30904284,0.29445538,0.28664237,0.32542562,0.28896004,0.31553864,0.33260435,0.30517858,0.32744387,0.30511883,0.3122535,0.30089566,0.31275353,0.31389767,0.298164,0.32994813,0.30948806,0.312736,0.3193448,0.3214895,0.3370541,0.30437654,0.3251086,0.3074007,0.27922344,0.31225717,0.3310192,0.31183174,0.31881678,0.30751657,0.31241664,0.31177884,0.3145956,0.31123397,0.31221738,0.31434423,0.3218199,0.31939134,0.329272,0.31919992,0.31900132,0.3288575,0.30970356,0.32540265,0.31519473,0.32431567,0.32880533,0.2751161,0.32468343,0.3292992,0.3056822,0.30766332,0.31726867,0.31433472,0.3058257,0.30823418,0.29368174,0.31183535,0.30140078,0.30328277,0.2970352,0.30045795,0.299704,0.32245612,0.3067416,0.33287555,0.297674,0.3064245,0.32639518,0.30670238
4,-0.4010259,-0.3032038,-0.23246224,-0.15090515,-0.05074635,0.03390556,0.113656595,0.18918677,0.272577,0.35076004,0.43001148,0.46633422,0.4923252,0.47434768,0.420422,0.33441278,0.274939,0.2324943,0.20589076,0.22797161,0.22303815,0.21793643,0.20095621,0.1809715,0.17230114,0.16757269,0.1677347,0.1694166,0.17102402,0.17584582,0.18011501,0.18411611,0.19344395,0.18833752,0.20115039,0.202122,0.20707288,0.21235135,0.22004272,0.2122018,0.22921449,0.22404057,0.23683298,0.23719195,0.2381632,0.2479131,0.24267103,0.25106865,0.25976267,0.27178648,0.26293564,0.26993823,0.27478227,0.2711165,0.27585965,0.28011438,0.28844458,0.2936972,0.29280087,0.30116454,0.30226487,0.30823582,0.3081759,0.32450846,0.3108504,0.3261382,0.32943618,0.33014375,0.32531554,0.31516913,0.3225816,0.31603977,0.3190946,0.3197957,0.32067955,0.32356623,0.32300562,0.32694674,0.3311414,0.31889093,0.31690365,0.31422016,0.32035756,0.3180948,0.32168788,0.322306,0.3152888,0.32256472,0.32867324,0.31149894,0.30734476,0.31752503,0.31911168,0.32418558,0.3196951,0.32301173,0.3159104,0.31956038,0.32041216,0.31884035,0.3170519,0.31894144,0.32881227,0.31226605,0.3153661,0.31627047,0.32218844,0.31771624,0.3115648,0.32724512,0.30721357,0.3194852,0.31976396,0.31790113,0.31822312,0.31035563,0.31471485,0.32076064,0.31884834,0.31561327,0.31261033,0.31969142,0.32152292,0.31461984,0.31744456,0.31444395,0.3165639,0.3131537,0.31684247,0.31785688,0.31940988
5,-0.44371402,-0.35510397,-0.26222536,-0.17273597,-0.07276928,0.025488429,0.12416482,0.2274378,0.31164798,0.41313657,0.51049215,0.59328073,0.6623375,0.70866096,0.6485016,0.5283693,0.36002412,0.24013412,0.18959165,0.15402873,0.15100645,0.17810322,0.18330985,0.2004259,0.19214801,0.19698498,0.19063179,0.20149146,0.19482538,0.20519245,0.20743796,0.21454535,0.22144575,0.223902,0.23122156,0.24287383,0.2473401,0.24196209,0.24997765,0.25161606,0.2732441,0.28532064,0.26032868,0.2741811,0.28050184,0.28721154,0.28913772,0.3052853,0.3044011,0.31738058,0.32171,0.3320601,0.32758912,0.323687,0.34304708,0.33582488,0.34359038,0.3486934,0.3649959,0.36235136,0.36863303,0.36813974,0.3816891,0.36549282,0.38926405,0.38250798,0.3882369,0.3971963,0.3730362,0.399054,0.39640537,0.39279795,0.39027062,0.39220768,0.39584938,0.38494003,0.39955956,0.38277906,0.38509658,0.39448664,0.39371163,0.3927925,0.385245,0.40158376,0.39546144,0.38198236,0.38407588,0.3999309,0.39138836,0.3996256,0.39818957,0.39416045,0.39660758,0.39709795,0.4015672,0.39740896,0.40049946,0.39024636,0.3900129,0.39357004,0.39186183,0.39082497,0.39075136,0.39333713,0.40805146,0.38533026,0.39847368,0.40086743,0.38309425,0.39932308,0.39639664,0.39232957,0.40810567,0.393939,0.3889053,0.38929054,0.39710483,0.3866292,0.38661182,0.38550887,0.39959267,0.3837098,0.38756257,0.3887994,0.40885982,0.39330095,0.3972311,0.39890853,0.39183655,0.40320233,0.3837846
6,-0.44646823,-0.34904906,-0.26398283,-0.15883788,-0.07937493,0.026892975,0.12581973,0.22367774,0.31231368,0.42405218,0.48897284,0.59659106,0.6421373,0.6921737,0.68739545,0.59038997,0.40647185,0.28295892,0.19607355,0.15599354,0.13746022,0.15432985,0.15484315,0.15323308,0.1764407,0.18583654,0.18572149,0.18294625,0.18772319,0.18137386,0.191286,0.20004205,0.20519173,0.21031901,0.21904822,0.22870272,0.2207237,0.24072142,0.24076355,0.2457878,0.25177115,0.26435935,0.2680692,0.26408267,0.27790618,0.2808215,0.28421938,0.2911373,0.31430283,0.2935689,0.31303945,0.3019558,0.3248979,0.32622617,0.3406595,0.3260631,0.33690196,0.34363785,0.34101266,0.35944718,0.36004567,0.35446236,0.3593117,0.36272347,0.37337703,0.3764916,0.36779934,0.38645533,0.3678059,0.410682,0.37790936,0.38664126,0.3853927,0.38158816,0.38845095,0.38127634,0.3794448,0.3793907,0.38594136,0.3745995,0.38280112,0.39724386,0.39119256,0.38913304,0.3821626,0.3869504,0.39455357,0.37596792,0.37658653,0.38114613,0.3868245,0.38171,0.39178595,0.38833514,0.40274346,0.4047227,0.3954066,0.3872139,0.38498023,0.37756115,0.37788156,0.39125678,0.38711917,0.38607833,0.3968875,0.38115907,0.3874814,0.3932669,0.38271606,0.36221823,0.39411396,0.40035164,0.39253575,0.3934449,0.38968074,0.3862304,0.39566544,0.38033104,0.38343644,0.38249844,0.3925808,0.3862115,0.37749302,0.39043197,0.39049688,0.38150424,0.41035753,0.3730037,0.38611987,0.38329878,0.39733395
7,-0.47326338,-0.374128,-0.27466497,-0.1700786,-0.063392475,0.040372543,0.14672744,0.23376304,0.33600798,0.41830283,0.50490206,0.5723647,0.6048995,0.5829168,0.5108688,0.4244498,0.32153833,0.27167898,0.22053462,0.21378306,0.18069951,0.20121431,0.20688891,0.1988106,0.19553639,0.19714619,0.21165502,0.20371689,0.21907604,0.21974036,0.22032788,0.22060351,0.23869663,0.23839737,0.25199363,0.25176686,0.25575486,0.26036373,0.26387635,0.26912552,0.2631655,0.2759032,0.28938448,0.29978186,0.29646158,0.3053041,0.3030837,0.31077033,0.31393057,0.34256563,0.328937,0.3252389,0.33881587,0.33538923,0.3354757,0.3473869,0.36389297,0.36056414,0.36286333,0.37609902,0.3683632,0.37600935,0.39493966,0.39772588,0.38886797,0.38816726,0.4036131,0.40781137,0.4049008,0.38410786,0.3902194,0.38631278,0.39536044,0.38858086,0.40011647,0.39361548,0.3994363,0.3909338,0.39984384,0.38793963,0.38779777,0.39890072,0.3901703,0.3943025,0.39216998,0.39940345,0.40454343,0.3951201,0.38301674,0.3963431,0.38474137,0.3887941,0.39098176,0.39537454,0.39863744,0.3921137,0.38453835,0.39218262,0.406181,0.39301723,0.39473847,0.39751798,0.39211747,0.38996908,0.38934007,0.38986856,0.4009514,0.3900961,0.38783228,0.39960322,0.39395797,0.3856306,0.39370292,0.39170036,0.40395355,0.3881402,0.37304908,0.39194062,0.3889097,0.39169133,0.37760717,0.39813256,0.3996755,0.38315332,0.39155382,0.39993113,0.39795122,0.38638577,0.38747102,0.40340596,0.3915635
8,-0.47065252,-0.37753037,-0.26469728,-0.16835862,-0.07706206,0.029334642,0.14555861,0.2528426,0.33504474,0.43963733,0.5450711,0.5989473,0.6825759,0.6806972,0.59778,0.48100537,0.34663016,0.22507441,0.16694942,0.1234262,0.11016979,0.13079673,0.15483296,0.17228284,0.1869862,0.18984419,0.196116,0.20569208,0.20209908,0.22540875,0.2287944,0.23108843,0.2399567,0.24107797,0.25450715,0.24812852,0.2560372,0.26818055,0.27149224,0.26394415,0.2943758,0.2969314,0.2763186,0.2873435,0.29490513,0.3104019,0.30775848,0.32722896,0.33330098,0.33946913,0.3370269,0.34252203,0.3457107,0.36684823,0.36039388,0.34922,0.35657257,0.37436607,0.39036378,0.3865476,0.39007652,0.40580365,0.39893222,0.3969593,0.41095018,0.41401613,0.4112233,0.4118561,0.4072795,0.4363073,0.42374203,0.43611622,0.42101836,0.40208226,0.41899863,0.41181532,0.4037385,0.4167979,0.4130642,0.42435038,0.39487624,0.4208555,0.41588056,0.41390502,0.41599947,0.39494276,0.414557,0.41850674,0.4180641,0.4076774,0.4294922,0.424014,0.41674024,0.41634998,0.40638703,0.40847477,0.41548043,0.4116089,0.4002256,0.41249394,0.41916522,0.4169141,0.38729337,0.41871908,0.41979495,0.4092111,0.41759127,0.40961027,0.41743636,0.41443315,0.42470264,0.41068536,0.42914456,0.42921835,0.40065584,0.4178989,0.4119103,0.4251048,0.41947404,0.41211596,0.42423844,0.42428502,0.40920234,0.41352025,0.40805456,0.4179339,0.39458737,0.4137675,0.4122159,0.42085972,0.40197954
9,-0.49446285,-0.39882535,-0.28597876,-0.17407435,-0.06930642,0.040724315,0.15728071,0.2504264,0.35136357,0.44160497,0.52133054,0.5942105,0.62900126,0.5875602,0.50228167,0.40278962,0.29971096,0.24474028,0.18448079,0.16684352,0.12871723,0.16487785,0.19140324,0.1910398,0.19067994,0.19904959,0.22134799,0.2135445,0.22826126,0.22890134,0.23070627,0.23418698,0.2520507,0.25149417,0.26738906,0.26646563,0.26803842,0.27174053,0.27447754,0.2830528,0.27632314,0.28703582,0.29684514,0.32220447,0.30771977,0.3153044,0.31899673,0.3280333,0.33234403,0.35717282,0.33934546,0.34311378,0.35852432,0.3543133,0.3512649,0.36429018,0.37929136,0.38144022,0.37962282,0.39923948,0.3870102,0.39955285,0.42110318,0.41290808,0.40188128,0.40176064,0.4235972,0.4310654,0.41877976,0.4023045,0.41077515,0.4112564,0.41534555,0.40837485,0.41399896,0.4125802,0.42513415,0.40880802,0.4198592,0.40754262,0.4067773,0.42554015,0.41151658,0.42008972,0.40419263,0.41330746,0.41870108,0.41574338,0.3993997,0.41119176,0.40295064,0.40626433,0.40880683,0.41278276,0.41872373,0.40956482,0.4088881,0.40989932,0.42867845,0.40882358,0.41422015,0.41930053,0.40442252,0.4160351,0.40566716,0.41451478,0.41789287,0.4107891,0.41199726,0.4186774,0.4194839,0.40123528,0.41765767,0.4150507,0.42301238,0.40393078,0.3926603,0.4092104,0.40882787,0.4138861,0.40197095,0.41733104,0.4198671,0.4014645,0.41082764,0.42784184,0.41331685,0.40507188,0.40384457,0.42761084,0.4011457
