"folds,RMSE,SNR,R2Score,MAE"
1,1.2829102557267,0.9034215300129336,-2.271042920532377,1.076880114800113
2,1.266947914149247,0.9463690417710721,-2.1984620927066323,1.061900815939466
3,1.27215660295951,0.9141624176039588,-2.2120529265621456,1.0654226701016298
4,1.2600898277756996,1.0309622643961796,-2.1582005811884213,1.0561539787559424
5,1.2798570947157544,0.8745990179450365,-2.2474677931559195,1.0723929516840476
