,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1.100571,1.1009256,1.0301992,0.99852055,0.92535067,0.8615819,1.1553731,2.096172,2.8544087,3.624995,4.2966795,4.7756977,5.262631,5.589701,6.007558,6.267288,6.2385607,6.7330604,6.8978343,6.9954042,7.367439,7.263676,7.4533525,7.478493,7.528459,7.73462,7.5930667,8.060817,8.0297165,7.717009,7.902428,8.082255,8.237695,8.433575,8.223975,8.251023,8.658989,7.6270876,8.217074,8.307479,8.573092,8.691348,8.356997,7.8637795,8.53335,8.290034,8.221946,7.9439607,7.9672494,8.487728,8.509925,8.668671,7.847623,7.90784,8.366038,8.573331,8.604235,8.267358,8.3755245,8.863651,8.728312,8.413244,8.487355,8.413723,8.382468,8.056655,8.559801,7.9908304,7.875897,8.516802,8.235615,8.3792305,8.072719,8.071411,8.694119,8.237598,8.462697,7.935437,8.697212,8.680867,8.486612,8.433158,7.7876916,8.298216,8.356744,8.248407,8.226452,8.422153,8.891534,8.404567,8.075247,8.505185,8.55277,8.406282,8.001927,8.312961,8.011391,8.091648,8.678577,8.611862
1,1.1005683,1.1009667,1.0302198,0.99854046,0.9254035,0.8616426,1.1554161,2.0963812,2.8545203,3.6251698,4.296941,4.775893,5.2628064,5.589958,6.0078354,6.267468,6.2387543,6.733417,6.8981466,6.9956203,7.3678565,7.263977,7.4535522,7.4787965,7.528818,7.735008,7.5933576,8.061186,8.030019,7.717161,7.9027824,8.082558,8.2379265,8.433862,8.224214,8.251326,8.659306,7.627359,8.217433,8.307752,8.573451,8.691657,8.357351,7.864079,8.533657,8.290419,8.222207,7.9442334,7.9674296,8.488003,8.510333,8.669013,7.848026,7.90803,8.366392,8.573675,8.604639,8.267713,8.375885,8.864023,8.72871,8.413605,8.487739,8.414102,8.382855,8.057048,8.560056,7.9912143,7.8761444,8.517041,8.236012,8.379626,8.073069,8.071773,8.694496,8.238076,8.462959,7.935726,8.69764,8.681154,8.486936,8.433384,7.788026,8.298581,8.357039,8.248618,8.226809,8.422378,8.891822,8.404824,8.075506,8.505582,8.553107,8.406655,8.002094,8.3133135,8.011724,8.09197,8.678929,8.612293
2,1.1005311,1.1009742,1.030213,0.99850327,0.92537403,0.8616108,1.15537,2.096174,2.854422,3.6249988,4.2966704,4.775708,5.26259,5.5896616,6.007517,6.2672534,6.238487,6.733073,6.897831,6.995336,7.3674097,7.263651,7.453239,7.478452,7.52841,7.734599,7.5930943,8.060819,8.029701,7.7169347,7.9023914,8.082196,8.237649,8.433504,8.223964,8.250992,8.658942,7.627066,8.217042,8.307417,8.573062,8.691295,8.356936,7.8637004,8.533344,8.290043,8.221874,7.9439435,7.967163,8.487617,8.509912,8.66865,7.8475966,7.907797,8.365981,8.573311,8.604205,8.267318,8.375503,8.863597,8.728324,8.41325,8.48734,8.413718,8.382441,8.056635,8.559718,7.9907937,7.875827,8.516698,8.235591,8.379192,8.0727415,8.071419,8.694108,8.237609,8.462605,7.935395,8.697228,8.680828,8.486527,8.433071,7.787639,8.2982025,8.356654,8.248351,8.226405,8.422074,8.891494,8.404501,8.07521,8.505133,8.552787,8.40628,8.001897,8.312953,8.011351,8.091572,8.678544,8.611832
3,1.10053,1.1010097,1.0302281,0.99852115,0.9254248,0.8616718,1.1554142,2.0963886,2.8545313,3.6251752,4.2969337,4.7759037,5.2627673,5.589918,6.0077944,6.2674327,6.23868,6.7334247,6.898143,6.9955463,7.3678317,7.2639537,7.4534416,7.4787545,7.528773,7.7349863,7.5933743,8.061183,8.029994,7.717088,7.902747,8.082499,8.237876,8.433787,8.224189,8.251289,8.659256,7.6273313,8.2174015,8.307688,8.573421,8.6916065,8.357293,7.8640037,8.533648,8.290424,8.222135,7.9442067,7.96734,8.48789,8.510316,8.668989,7.8479967,7.9079804,8.366333,8.573649,8.6046095,8.2676735,8.375863,8.863971,8.728717,8.413606,8.487726,8.414095,8.382828,8.057025,8.559968,7.9911833,7.876077,8.51694,8.235992,8.379591,8.073084,8.071777,8.694484,8.238086,8.462864,7.9356847,8.697648,8.681114,8.486848,8.433292,7.787975,8.298566,8.356948,8.248555,8.226763,8.4222975,8.891775,8.404756,8.075461,8.505527,8.553116,8.406651,8.002056,8.313298,8.011686,8.091894,8.67889,8.612259
4,1.1005821,1.1009579,1.0302116,0.99851644,0.92536366,0.86156344,1.1553814,2.096151,2.8544302,3.6249819,4.296678,4.7757072,5.2626,5.5897346,6.007615,6.267298,6.2385783,6.7331195,6.897829,6.995456,7.3674345,7.263712,7.4533744,7.4785414,7.528497,7.734645,7.593158,8.060863,8.029844,7.7170477,7.90244,8.08228,8.237766,8.433604,8.224062,8.251094,8.659058,7.6271615,8.217067,8.307558,8.573173,8.691352,8.357051,7.8638067,8.533393,8.290078,8.22198,7.944021,7.9673157,8.487785,8.510013,8.668702,7.8476596,7.9079046,8.366092,8.573423,8.60428,8.26739,8.375503,8.863675,8.728364,8.413316,8.487379,8.41381,8.382479,8.056722,8.559886,7.990824,7.875925,8.516818,8.235644,8.379231,8.072794,8.071484,8.694168,8.237629,8.462752,7.935449,8.697297,8.680945,8.486675,8.433222,7.787731,8.298255,8.356793,8.248459,8.226479,8.422193,8.891602,8.404632,8.075327,8.505231,8.552823,8.406305,8.00202,8.313026,8.011427,8.091656,8.678663,8.611923
5,1.1005815,1.1009935,1.0302305,0.9985399,0.9254135,0.8616235,1.1554235,2.0963564,2.8545392,3.6251554,4.296935,4.7759023,5.2627826,5.5899887,6.007886,6.267484,6.2387733,6.7334633,6.8981404,6.995669,7.367847,7.264006,7.4535823,7.478841,7.52885,7.7350235,7.5934367,8.061224,8.030138,7.7172036,7.9027915,8.082585,8.237999,8.433892,8.224294,8.251388,8.6593685,7.6274285,8.217425,8.307826,8.573521,8.691666,8.357399,7.8641095,8.533698,8.290453,8.222245,7.944287,7.9674954,8.488058,8.510409,8.669044,7.848055,7.9080925,8.36644,8.573759,8.604681,8.26774,8.375861,8.864042,8.728755,8.413667,8.487758,8.414175,8.382863,8.057104,8.560136,7.991211,7.8761744,8.517061,8.236036,8.379627,8.073134,8.071835,8.694535,8.238102,8.463013,7.935739,8.697717,8.681227,8.486997,8.433447,7.7880583,8.298614,8.357086,8.248666,8.226829,8.422418,8.89189,8.404884,8.075579,8.505618,8.55315,8.406671,8.002187,8.313366,8.011757,8.091981,8.679006,8.612344
6,1.1006117,1.1009548,1.030263,0.99852204,0.9253558,0.8615854,1.1553386,2.0961525,2.8544245,3.624975,4.2966743,4.7757325,5.2626333,5.589754,6.007575,6.267306,6.238598,6.7331147,6.8978415,6.995459,7.3674483,7.2636757,7.453387,7.478514,7.5284925,7.7346177,7.5931573,8.060859,8.029792,7.717046,7.9024487,8.082273,8.237761,8.433653,8.224069,8.251059,8.65907,7.6271772,8.217064,8.307533,8.573117,8.691394,8.357015,7.863804,8.533392,8.290043,8.222008,7.944045,7.9673114,8.487786,8.509969,8.668682,7.847675,7.9079056,8.366076,8.573365,8.604302,8.267336,8.375545,8.863653,8.728342,8.413266,8.487383,8.413769,8.382435,8.056664,8.559882,7.9908376,7.8759265,8.516826,8.235639,8.379254,8.07277,8.071443,8.694126,8.237627,8.462725,7.935454,8.697302,8.680909,8.486689,8.43323,7.7876825,8.29822,8.356783,8.248431,8.226482,8.422191,8.891626,8.40462,8.0752735,8.505215,8.5528145,8.406307,8.002033,8.313007,8.011385,8.091654,8.678631,8.611893
7,1.1006075,1.1009905,1.0302773,0.9985441,0.92540467,0.8616433,1.1553851,2.0963578,2.8545356,3.6251493,4.296931,4.775925,5.26281,5.5900097,6.0078516,6.2674913,6.2387953,6.7334642,6.898155,6.9956756,7.367865,7.263976,7.4535966,7.478822,7.528851,7.734999,7.593439,8.061224,8.030096,7.7172055,7.9028025,8.082583,8.237995,8.43394,8.224306,8.251364,8.659387,7.6274467,8.217425,8.307814,8.573474,8.691705,8.357368,7.86411,8.533699,8.290425,8.222277,7.9443173,7.9675,8.488064,8.510375,8.669033,7.848069,7.908102,8.366433,8.573713,8.604706,8.267695,8.375905,8.864026,8.728735,8.413627,8.487767,8.414143,8.382825,8.057057,8.56014,7.9912267,7.87618,8.517073,8.2360325,8.379646,8.073115,8.071801,8.694502,8.238103,8.462993,7.9357452,8.697725,8.681198,8.487014,8.433461,7.788018,8.298587,8.357083,8.248651,8.226838,8.4224205,8.891918,8.404875,8.075537,8.5056095,8.553147,8.406677,8.002204,8.313353,8.011724,8.091983,8.678982,8.61232
8,1.1006204,1.1009624,1.0302747,0.9985391,0.92536235,0.8615793,1.1553489,2.0961204,2.8544533,3.624961,4.2966576,4.7757063,5.262645,5.5897527,6.007575,6.267316,6.238628,6.7330785,6.8978386,6.9955053,7.367399,7.263641,7.453428,7.4785304,7.5284815,7.7345796,7.593156,8.060847,8.029809,7.7171054,7.9024105,8.082307,8.237769,8.43364,8.224065,8.251055,8.6590395,7.6271772,8.217038,8.307597,8.57312,8.691393,8.357013,7.863842,8.533369,8.290007,8.222005,7.9440646,7.9673624,8.487801,8.509982,8.668653,7.847633,7.9079356,8.366077,8.573418,8.604292,8.267381,8.375515,8.863647,8.728303,8.413263,8.487338,8.413743,8.382413,8.056681,8.559951,7.990829,7.8759265,8.516855,8.235568,8.379219,8.072778,8.071433,8.69411,8.237583,8.462769,7.9354534,8.697283,8.680942,8.486706,8.4333,7.787693,8.298192,8.356818,8.24849,8.226448,8.422213,8.891645,8.404626,8.075302,8.505241,8.5528,8.406267,8.00206,8.31299,8.011407,8.091658,8.678652,8.611889
9,1.100621,1.1009953,1.0302887,0.9985621,0.9254081,0.86163294,1.155393,2.0963268,2.8545609,3.6251311,4.296913,4.7759037,5.2628226,5.5900126,6.0078583,6.2675047,6.2388306,6.733431,6.8981514,6.995727,7.36782,7.263947,7.4536486,7.4788423,7.5288415,7.7349677,7.59344,8.0612135,8.030121,7.71727,7.9027696,8.082614,8.23801,8.43394,8.224311,8.251365,8.659368,7.627454,8.217397,8.30788,8.573482,8.6917095,8.357374,7.8641477,8.533683,8.290391,8.222286,7.9443407,7.967554,8.488087,8.510391,8.669011,7.848036,7.9081345,8.36644,8.573764,8.604695,8.267732,8.375882,8.864026,8.728703,8.413629,8.487727,8.414125,8.382805,8.057071,8.560213,7.99122,7.8761883,8.517108,8.235974,8.3796215,8.073123,8.071792,8.69449,8.238066,8.463039,7.9357467,8.697714,8.681234,8.487041,8.433532,7.7880306,8.298566,8.357122,8.248709,8.2268095,8.422448,8.891945,8.404891,8.075568,8.505636,8.553134,8.406641,8.002239,8.313342,8.011745,8.091995,8.67901,8.612317
