"file_name,RMSE,SNR,R2Score,MAE"
fastnfastp_3.3V_45.csv,0.3877469518299781,10.866332752757554,0.6686874204875151,0.3000642615862596
fastnfastp_3.6V_45.csv,0.39028830436901,10.832916756593887,0.6585104626544789,0.3013438291718886
fastnslowp_3.3V_45.csv,0.3893082950728012,10.583282619350069,0.6809890406233584,0.3103768221834823
fastnslowp_3.6V_45.csv,0.38453561292526867,10.812628826447536,0.6877454394917747,0.3083406324653653
slownfastp_3.3V_45.csv,0.40865372502231107,10.083262607682862,0.6358971745124651,0.33334537811018955
slownfastp_3.6V_45.csv,0.42043694841682133,9.841309763633742,0.6162763963563405,0.34536503896384096
slownslowp_3.3V_45.csv,0.3648248635486665,10.934671528797647,0.7081047390759072,0.282517593073629
slownslowp_3.6V_45.csv,0.3619102212603579,11.077625175269388,0.7146037169963337,0.27638408275301046
typical_3.3V_45.csv,0.36010924251847704,11.239773787901319,0.7165813874571935,0.25547897324379804
typical_3.6V_45.csv,0.36266779315361786,11.21447050586385,0.709766710991735,0.25718207236131796
